"Court_changes","More_time_in_cell","Less_showers","Cancelled_visits","Less_staff","No_education","Less_work","Less_MH_support","Less_PH_support","Changes_in_mealtimes","More_time_cell_mates","Changes_in_timetable","Less_gym","Difficult_busy_in_cell","LOW_MOOD","ANXIOUS","SCARED","WORRY","V_AND_V","SLEEP","EATING","DRUGS","UPSETTING_THOUGHTS","UPSETTING_MEMORIES","NIGHTMARES","FRUSTRATION_ANGER","ARGUMENTS","DSH","SUICIDAL_THOUGHTS","FEELING_SAFE"
"ANXIOUS"," 0.089"," 0.055","-0.122","-0.097","-0.084"," 0.059"," 0.032"," 0.355","-0.112"," 0.199"," 0.093"," 0.023","-0.048"," 0.205"," 0.567"," 1.000"," 0.410"," 0.453"," 0.125"," 0.277"," 0.270"," 0.072"," 0.425"," 0.334"," 0.388"," 0.439"," 0.204"," 0.235"," 0.249"," 0.310"
"SCARED"," 0.370","-0.106","-0.106","-0.054"," 0.067","-0.083"," 0.163"," 0.245","-0.014"," 0.066"," 0.329"," 0.087"," 0.060"," 0.250"," 0.352"," 0.410"," 1.000"," 0.482"," 0.407"," 0.332"," 0.369"," 0.353"," 0.516"," 0.418"," 0.315"," 0.159"," 0.334"," 0.360"," 0.360"," 0.645"
"WORRY"," 0.247","-0.147"," 0.000"," 0.110","-0.030","-0.041"," 0.048"," 0.204"," 0.000"," 0.133"," 0.215"," 0.154"," 0.105"," 0.350"," 0.463"," 0.453"," 0.482"," 1.000"," 0.294"," 0.413"," 0.426"," 0.223"," 0.640"," 0.435"," 0.245"," 0.562"," 0.340"," 0.166"," 0.236"," 0.377"
"V_AND_V"," 0.221"," 0.186"," 0.315","-0.067"," 0.068","-0.106"," 0.175"," 0.110","-0.130"," 0.189"," 0.275"," 0.119"," 0.267"," 0.101"," 0.243"," 0.125"," 0.407"," 0.294"," 1.000"," 0.125"," 0.028"," 0.255"," 0.143"," 0.095"," 0.293","-0.031","-0.034"," 0.036"," 0.199"," 0.235"
"SLEEP"," 0.007"," 0.027"," 0.027"," 0.103","-0.023"," 0.100"," 0.321"," 0.291"," 0.150"," 0.143"," 0.108","-0.034","-0.085"," 0.150"," 0.454"," 0.277"," 0.332"," 0.413"," 0.125"," 1.000"," 0.602"," 0.141"," 0.552"," 0.362"," 0.309"," 0.595"," 0.422"," 0.168"," 0.120"," 0.345"
"EATING"," 0.142","-0.187","-0.037"," 0.103","-0.146"," 0.136"," 0.085","-0.031","-0.067"," 0.088"," 0.178"," 0.000","-0.162"," 0.112"," 0.394"," 0.270"," 0.369"," 0.426"," 0.028"," 0.602"," 1.000"," 0.336"," 0.572"," 0.415"," 0.342"," 0.574"," 0.406"," 0.221"," 0.281"," 0.278"
"DRUGS"," 0.351"," 0.058"," 0.058"," 0.166"," 0.091"," 0.232","-0.045","-0.086"," 0.019"," 0.061"," 0.286"," 0.047"," 0.083"," 0.019"," 0.053"," 0.072"," 0.353"," 0.223"," 0.255"," 0.141"," 0.336"," 1.000"," 0.182"," 0.240"," 0.280"," 0.085"," 0.504"," 0.485"," 0.559"," 0.267"
"UPSETTING_THOUGHTS"," 0.233"," 0.010"," 0.010","-0.098","-0.002"," 0.154"," 0.277"," 0.244"," 0.018"," 0.013"," 0.158"," 0.106"," 0.014"," 0.306"," 0.487"," 0.425"," 0.516"," 0.640"," 0.143"," 0.552"," 0.572"," 0.182"," 1.000"," 0.674"," 0.451"," 0.552"," 0.288"," 0.310"," 0.312"," 0.350"
"UPSETTING_MEMORIES"," 0.112"," 0.015"," 0.015","-0.087"," 0.146"," 0.254"," 0.181"," 0.164"," 0.027"," 0.034"," 0.120"," 0.117"," 0.138"," 0.316"," 0.392"," 0.334"," 0.418"," 0.435"," 0.095"," 0.362"," 0.415"," 0.240"," 0.674"," 1.000"," 0.398"," 0.470"," 0.168"," 0.273"," 0.318"," 0.250"
"NIGHTMARES"," 0.232"," 0.211"," 0.211"," 0.045","-0.084"," 0.154"," 0.128"," 0.154"," 0.141"," 0.136"," 0.366"," 0.166"," 0.018"," 0.141"," 0.323"," 0.388"," 0.315"," 0.245"," 0.293"," 0.309"," 0.342"," 0.280"," 0.451"," 0.398"," 1.000"," 0.386"," 0.178"," 0.216"," 0.262"," 0.320"
"FRUSTRATION_ANGER","-0.017"," 0.041","-0.124"," 0.134","-0.042"," 0.126"," 0.013"," 0.218"," 0.172"," 0.142"," 0.106"," 0.000","-0.178"," 0.172"," 0.491"," 0.439"," 0.159"," 0.562","-0.031"," 0.595"," 0.574"," 0.085"," 0.552"," 0.470"," 0.386"," 1.000"," 0.316"," 0.171"," 0.177"," 0.306"
"ARGUMENTS"," 0.217","-0.106","-0.106"," 0.170"," 0.061"," 0.108"," 0.032"," 0.108"," 0.260"," 0.128"," 0.264"," 0.108"," 0.028"," 0.185"," 0.201"," 0.204"," 0.334"," 0.340","-0.034"," 0.422"," 0.406"," 0.504"," 0.288"," 0.168"," 0.178"," 0.316"," 1.000"," 0.519"," 0.493"," 0.505"
"DSH"," 0.159","-0.020","-0.020","-0.046"," 0.044"," 0.322","-0.033"," 0.033"," 0.119"," 0.010"," 0.204"," 0.026","-0.029"," 0.119"," 0.157"," 0.235"," 0.360"," 0.166"," 0.036"," 0.168"," 0.221"," 0.485"," 0.310"," 0.273"," 0.216"," 0.171"," 0.519"," 1.000"," 0.848"," 0.480"
"SUICIDAL_THOUGHTS"," 0.247"," 0.104"," 0.104","-0.009"," 0.007"," 0.241","-0.056","-0.067"," 0.021","-0.044"," 0.266"," 0.073"," 0.050"," 0.103"," 0.170"," 0.249"," 0.360"," 0.236"," 0.199"," 0.120"," 0.281"," 0.559"," 0.312"," 0.318"," 0.262"," 0.177"," 0.493"," 0.848"," 1.000"," 0.375"
"FEELING_SAFE"," 0.225","-0.092","-0.092"," 0.051"," 0.170"," 0.026"," 0.185"," 0.272"," 0.187"," 0.391"," 0.385"," 0.271"," 0.185"," 0.363"," 0.297"," 0.310"," 0.645"," 0.377"," 0.235"," 0.345"," 0.278"," 0.267"," 0.350"," 0.250"," 0.320"," 0.306"," 0.505"," 0.480"," 0.375"," 1.000"
